TIS_ID,LOCATION_LINK_DESC,LGA,ALL_VEHICLE_DAILY_VOLUME_AVG,TRUCKS_DAILY_VOLUME_AVG,DAILY_AVG_%_OF_VOLUME_OF_TRUCKS,LATITUDE,LONGITUDE,SUBURB,POSTCODE
14915, MARYSVILLE-WOODS POINT ROAD btwn LAKE MOUNTAIN ROAD & WARBURTON-WOODS POINT ROAD,YARRA RANGES,24,3.0,0.13,-37.559409499999994,145.86462580000003, Cambarville , 3779
14140, STEELS CREEK ROAD btwn WILLOWBEND DRIVE & ELTHAM ROAD,YARRA RANGES,373,22.0,0.07,-37.6284146,145.37357250000002, Yarra Glen , 3775
12113, LATROBE ROAD btwn TANJIL EAST ROAD & GORDON STREET,LATROBE,1100,61.0,0.07,-38.195167,146.4029514, Maryvale , 3840
12897, CASTERTON ROAD btwn GLENELG HIGHWAY & COLERAINE-EDENHOPE ROAD,SOUTHERN GRAMPIANS,801,165.0,0.25,-37.579418100000005,141.5645591, Coleraine , 3315
9893, HUTTON ROAD btwn CHAPEL ROAD & GREENS ROAD,DANDENONG,12000,744.0,0.07,-38.0132051,145.1655152, Keysborough , 3173
14009, GREEN GULLY ROAD btwn CALDER HIGHWAY Offramp & OLD CALDER HIGHWAY,BRIMBANK,16000,952.0,0.07,-37.7143234,144.82915780000002, Keilor , 3036
12552, PRINCES HIGHWAY EAST btwn FOSTER STREET & REID DRIVE,WELLINGTON,5700,407.0,0.09,-38.108954100000005,147.0396864, Wurruk , 3850
12967, BOUNDARY ROAD btwn PALMERS ROAD & MT DERRIMUT ROAD,WYNDHAM,5800,349.0,0.07,-37.8112414,144.7600534, Derrimut , 3030
11197, FERNTREE GULLY ROAD btwn SCORESBY ROAD & BURWOOD HIGHWAY,KNOX,17000,1100.0,0.07,-37.885866799999995,145.26701780000002, Ferntree Gully , 3156
9606, SHARPS ROAD btwn KEILOR PARK DRIVE & AIRPORT DRIVE,HUME,12000,979.0,0.1,-37.706514399999996,144.8642541, Tullamarine , 3043
8723, HARROW-BALMORAL ROAD btwn COLERAINE-EDENHOPE ROAD & UNNAMED,SOUTHERN GRAMPIANS,236,21.0,0.11,-37.2539799,141.7347763, Balmoral , 3407
12668, HENTY HIGHWAY btwn PORTLAND ROAD & UNNAMED,SOUTHERN GRAMPIANS,1400,227.0,0.2,-37.809795799999996,141.9058419, Branxholme , 3302
8627, DERRIMUT ROAD btwn HOGANS ROAD & HEATHS ROAD,WYNDHAM,13000,549.0,0.05,-37.8702491,144.68413700000002, Hoppers Crossing , 3029
11314, KINGS ROAD btwn TAYLORS ROAD & MAIN ROAD,BRIMBANK,14000,299.0,0.02,-37.7347773,144.7808159, St Albans , 3021
8936, OMEO HIGHWAY btwn OLIVERS ROAD & MOSSIFACE ROAD,EAST GIPPSLAND,2200,229.0,0.13,-37.7510453,147.728297, Sarsfield , 3875
11860, SOUTH ROAD btwn NEW STREET & HAMPTON STREET,BAYSIDE,6400,397.0,0.07,-37.928724,144.9990538, Brighton , 3186
9857, BENALLA-TOCUMWAL ROAD btwn DOOKIE-DEVENISH ROAD & MIDLAND HIGHWAY,BENALLA,448,44.0,0.12,-36.4114624,145.90290280000002, Goorambat , 3725
11839, DUNCANS ROAD btwn AVIATION ROAD & BEACH ROAD,WYNDHAM,1300,110.0,0.1,-37.948051299999996,144.7075814, Werribee South , 3030
10044, BENALLA-TOCUMWAL ROAD btwn TUNGAMAH MAIN ROAD & DOOKIE-DEVENISH ROAD,MOIRA,240,44.0,0.22,-36.2525939,145.80104, Waggarandall , 3646
13863, FERNTREE GULLY ROAD btwn EASTLINK & STUD ROAD,KNOX,20000,1600.0,0.1,-37.899142499999996,145.22401330000002, Scoresby , 3179
11192, MAIN ROAD btwn BRIDGE STREET & WATTLETREE ROAD,NILLUMBIK,13000,712.0,0.07,-37.710939700000004,145.1490889, Eltham , 3095
10613, BERWICK-CRANBOURNE ROAD btwn THOMPSONS ROAD & CLYDE-FIVE WAYS ROAD,CASEY,8000,1200.0,0.17,-38.104036,145.33017009999998, Clyde North , 3978
12031, INGLEWOOD ROAD btwn HIGH STREET & CALDER HIGHWAY,LODDON,1600,327.0,0.25,-36.4238035,143.621158, Wedderburn , 3518
16060, EASTFIELD ROAD btwn EASTFIELD ROAD & DORSET ROAD,MAROONDAH,4400,267.0,0.07,-37.812193,145.2788187, Croydon South , 3136
16563,DINGLEY BYPASS BTWN TOOTAL ROAD & WESTALL ROAD,KINGSTON,21000,1100.0,0.06,-37.9640831,145.131843, Springvale South , 3172
14138, STATION STREET btwn WANTIRNA ROAD & BEDFORD ROAD,MAROONDAH,5500,,,-37.8163854,145.2289553, Ringwood , 3134
13629, GREAVES ROAD btwn NARRE WARREN-CRANBOURNE ROAD & THE AVENUE,CASEY,8100,490.0,0.07,-38.056,145.3078623, Narre Warren South , 3805
12900, GLENELG HIGHWAY btwn GLENELG HIGHWAY Start & CASTERTON-PENOLA ROAD,GLENELG,458,87.0,0.23,-37.709320299999995,141.18490559999998, Strathdownie , 3312
14982, OVERLAND DRIVE BTWN NARRE WARREN NORTH ROAD & WEBB STREET,CASEY,4000,,,-38.020704200000004,145.3073301, Narre Warren , 3805
15555, MARYSVILLE-WOODS POINT ROAD btwn LAKE MOUNTAIN ROAD & WARBURTON-WOODS POINT ROAD,YARRA RANGES,20,1.0,0.11,-37.559409499999994,145.86462580000003, Cambarville , 3779
14265, Leakes Road btwn Shanahans road & PALMERS ROAD,WYNDHAM,12000,,,-37.8333011,144.68239630000002, Tarneit , 3029
15057, GREENS ROAD btwn EASTLINK & HAMMOND ROAD,DANDENONG,8500,1300.0,0.18,-38.0109416,145.1795846, Keysborough , 3173
5960, GLENELG HIGHWAY btwn GLENELG HIGHWAY Start & CASTERTON-PENOLA ROAD,GLENELG,485,86.0,0.22,-37.709320299999995,141.18490559999998, Strathdownie , 3312
6245, CAPE SCHANCK ROAD btwn BONEO ROAD & UNNAMED,MORNINGTON PENINSULA,3900,232.0,0.07,-38.4751725,144.8949226, Cape Schanck , 3939
2069, MANNINGHAM ROAD btwn HIGH STREET & WILLIAMSONS ROAD,MANNINGHAM,15000,947.0,0.07,-37.776688899999996,145.11877869999998, Doncaster , 3108
7194, BELL STREET btwn ALBERT STREET & CHIFLEY DRIVE,DAREBIN,21000,1600.0,0.09,-37.747715500000005,145.0257638, Preston , 3072
1937, COBDEN-WARRNAMBOOL ROAD btwn AYRESFORD ROAD & COBDEN-SCOTTS CREEK ROAD,CORANGAMITE,939,128.0,0.17,-38.4004638,142.97622009999998, Glenfyne , 3266
6592, BRYSONS ROAD btwn HOMESTEAD ROAD & WONGA ROAD,MANNINGHAM,4000,,,-37.7555303,145.2551281, Warrandyte South , 3134
486, PRINCES HIGHWAY WEST btwn MAHERS ROAD & CAPE OTWAY ROAD,SURF COAST,3700,762.0,0.25,-38.2139752,144.1142572, Buckley , 3240
3913, BERWICK-CRANBOURNE ROAD btwn CLYDE ROAD & THOMPSONS ROAD,CASEY,16000,892.0,0.06,-38.0745511,145.335337, Cranbourne North , 3977
4951, MURRAY VALLEY HIGHWAY btwn TOWONG STREET & KIEWA EAST ROAD,TOWONG,1400,240.0,0.2,-36.2241638,147.1141476, Huon , 3695
4827, MONASH WAY btwn BRODRIBB ROAD & SILCOCKS ROAD,LATROBE,3900,210.0,0.07,-38.288307200000006,146.41411019999998, Hazelwood North , 3840
4698, WIMMERA HIGHWAY btwn EDENHOPE-PENOLA ROAD & WIMMERA HIGHWAY End,WEST WIMMERA,383,64.0,0.2,-36.9756033,141.11119209999998, Apsley , 3319
9929, ROHS ROAD btwn NAPIER STREET & MCIVOR ROAD,BENDIGO,1400,130.0,0.12,-36.7428122,144.3162601, East Bendigo , 3550
8671, GEELONG-BALLAN ROAD btwn BALLAN-DAYLESFORD ROAD & BALLAN ROAD,GEELONG,506,61.0,0.15,-37.821666,144.201234, Durdidwarrah , 3342
8620, COBDEN-WARRNAMBOOL ROAD btwn AYRESFORD ROAD & COBDEN-SCOTTS CREEK ROAD,CORANGAMITE,886,146.0,0.2,-38.4004638,142.97622009999998, Glenfyne , 3266
15876, COLERAINE-MERINO ROAD btwn PORTLAND ROAD & CONDAH-COLERAINE ROAD,GLENELG,93,5.0,0.07,-37.6986536,141.6159758, Tahara Bridge , 3315
12205, PRINCES HIGHWAY EAST btwn PRINCES HIGHWAY EAST & ARGYLE STREET,LATROBE,12000,1300.0,0.13,-38.1893763,146.5697237, Traralgon East , 3844
14524, FITZGERALD ROAD btwn DEER PARK BYPASS & BOUNDARY ROAD,BRIMBANK,10000,1900.0,0.22,-37.8067895,144.78823119999998, Derrimut , 3030
15556, DONNA BUANG ROAD btwn DONNA BUANG ROAD & DONNA BUANG ROAD,YARRA RANGES,15,1.0,0.12,-37.710488399999996,145.7095744, Warburton , 3799
14533, BASS HIGHWAY S Bd btwn SOUTH GIPPSLAND HIGHWAY & CORINELLA ROAD,BASS COAST,5800,600.0,0.12,-38.36992720000001,145.56361669999998, The Gurdies , 3984
8987, COLLINS STREET btwn GEELONG-PORTARLINGTON ROAD & HIGH STREET,GEELONG,4500,307.0,0.09,-38.165902100000004,144.5773781, Drysdale , 3222
9167, DONNA BUANG ROAD btwn DONNA BUANG ROAD & ROAD EIGHTEEN,YARRA RANGES,66,1.0,0.01,-37.7270244,145.722525, Warburton , 3799
14594, MOUNT STIRLING ROAD BTWN MOUNT BULLER ROAD & CIRCUIT ROAD,(MOUNT STIRLING),2100,234.0,0.14,-37.108675500000004,146.4298832, Mount Buller , 3723
10820, ANDERSON STREET btwn HARDY STREET & HEREFORD ROAD,YARRA RANGES,13000,538.0,0.05,-37.76190820000001,145.35573, Lilydale , 3140
15450, GREENS ROAD btwn HUTTON ROAD & EASTLINK,DANDENONG,16000,2500.0,0.18,-38.0125054,145.1975417, Dandenong South , 3175
5129, BOUNDARY ROAD btwn MT DERRIMUT ROAD & FITZGERALD ROAD,BRIMBANK,14000,2500.0,0.21,-37.812790299999996,144.778298, Derrimut , 3030
7601, PRINCES HIGHWAY WEST btwn BIRREGURRA ROAD & MAIN STREET,SURF COAST,4400,739.0,0.21,-38.2696576,143.8943974, Winchelsea , 3241
7825, PRINCES HIGHWAY WEST btwn KOROIT-PORT FAIRY ROAD & SOUTHERN CROSS ROAD,MOYNE,5000,668.0,0.17,-38.3318312,142.3601284, Tower Hill , 3283
7828, PRINCES HIGHWAY WEST btwn EDGAR STREET & HENTY HIGHWAY,GLENELG,2000,335.0,0.2,-38.2230523,141.6231323, Heathmere , 3305
9833, KORONG VALE ROAD btwn BOORT-WEDDERBURN ROAD & HIGH STREET,LODDON,138,10.0,0.09,-36.4213657,143.6218833, Wedderburn , 3518
9858, BENALLA-TOCUMWAL ROAD btwn MURRAY VALLEY HIGHWAY & COBRAM SOUTH ROAD,MOIRA,577,186.0,0.4,-35.9575719,145.6115372, Yarroweyah , 3644
3939, ELTHAM-YARRA GLEN ROAD btwn KANGAROO GROUND-ST ANDREWS ROAD & ALMA ROAD,NILLUMBIK,1900,353.0,0.22,-37.683188799999996,145.23711609999998, Kangaroo Ground , 3097
7506, WARRNAMBOOL-MORTLAKE ROAD btwn DUNLOP STREET & REDDIE ROAD,MOYNE,1400,215.0,0.19,-38.2112605,142.6555392, Ballangeich , 3279
6637, DOHERTYS ROAD btwn PALMERS ROAD & FITZGERALDS ROAD,WYNDHAM,7400,444.0,0.07,-37.82654960000001,144.76718400000001, Laverton North , 3026
5413, MT BAINBRIDGE ROAD btwn DIGBY ROAD & PORTLAND ROAD,SOUTHERN GRAMPIANS,1000,176.0,0.21,-37.7443149,142.0143985, Hamilton , 3300
6349, HALL ROAD btwn DANDENONG-HASTINGS ROAD & CRANBOURNE-FRANKSTON ROAD,CASEY,13000,779.0,0.07,-38.1082237,145.2436079, Cranbourne West , 3977
9200, POINT LONSDALE ROAD btwn LAWRENCE ROAD & OCEAN ROAD,QUEENSCLIFFE,2100,234.0,0.14,-38.2818359,144.6150419, Point Lonsdale , 3225
10427, BENALLA-TOCUMWAL ROAD btwn COBRAM SOUTH ROAD & KATAMATITE-YARRAWONGA ROAD,MOIRA,1600,381.0,0.3,-36.0297163,145.6574546, Katamatite , 3649
10288, WILLIAMSONS ROAD btwn MANNINGHAM ROAD & DONCASTER ROAD,MANNINGHAM,14000,870.0,0.07,-37.783492100000004,145.1241351, Doncaster , 3108
10661, MAIN NEERIM ROAD btwn BLOOMFIELD ROAD & JINDIVICK-NEERIM SOUTH ROAD,BAW BAW,2300,201.0,0.11,-38.0358016,145.95056200000002, Neerim South , 3831
9271, MAIR STREET btwn DAWSON STREET & DOVETON STREET,BALLARAT,7700,346.0,0.06,-37.559391999999995,143.854554, Ballarat Central , 3350
3334, BENALLA-TOCUMWAL ROAD btwn COBRAM SOUTH ROAD & KATAMATITE-YARRAWONGA ROAD,MOIRA,1500,392.0,0.33,-36.0297163,145.6574546, Katamatite , 3649
3336, BENALLA-TOCUMWAL ROAD btwn TUNGAMAH MAIN ROAD & DOOKIE-DEVENISH ROAD,MOIRA,252,47.0,0.23,-36.2525939,145.80104, Waggarandall , 3646
7742, FRANKSTON-DANDENONG ROAD btwn ABBOTTS ROAD & THOMPSON ROAD,DANDENONG,15000,1200.0,0.09,-38.0537024,145.2076217, Dandenong South , 3175
4315, PRINCES HIGHWAY EAST btwn UNNAMED & PRINCES HIGHWAY EAST,LATROBE,6200,1000.0,0.2,-38.170517100000005,146.679109, Flynn , 3844
5017, GLENELG HIGHWAY btwn WHYTE STREET & GLENELG HIGHWAY,SOUTHERN GRAMPIANS,1600,286.0,0.22,-37.6719594,141.84436259999998, Wannon , 3301
1647, OMEO HIGHWAY btwn MOSSIFACE ROAD & HUME STREET,EAST GIPPSLAND,2200,217.0,0.13,-37.71586679999999,147.80551619999997, Wiseleigh , 3885
2158, BALLARAT-MARYBOROUGH ROAD btwn UNNAMED & BALLARAT STREET,CENTRAL GOLDFIELDS,1300,151.0,0.15,-37.1178266,143.71663769999998, Daisy Hill , 3465
3910, CRANBOURNE ROAD btwn MCCLELLAND DRIVE & WARRANDYTE ROAD,FRANKSTON,16000,859.0,0.06,-38.1552521,145.18104730000002, Langwarrin , 3910
690, WESTERN HIGHWAY btwn OLINDA STREET & WESTERN FREEWAY,PYRENEES,4300,1100.0,0.31,-37.453230600000005,143.5333074, Brewster , 3352
1235, HAMILTON HIGHWAY btwn PETSCHELS LANE & UNNAMED,SOUTHERN GRAMPIANS,975,161.0,0.2,-37.7991011,142.1749154, Croxton East , 3301
1669, GRAND RIDGE ROAD btwn TRARALGON-BALOOK ROAD & YARRAM-TRARALGON ROAD,WELLINGTON,63,19.0,0.37,-38.3991579,146.65258469999998, Blackwarry , 3844
2409, WINTER STREET btwn WHYTE STREET & PORTLAND ROAD,SOUTHERN GRAMPIANS,488,50.0,0.13,-37.6050351,141.6913873, Coleraine , 3315
4022, SOUTH ROAD btwn BLUFF ROAD & NEPEAN HIGHWAY,BAYSIDE,12000,722.0,0.07,-37.9324627,145.0300454, Hampton East , 3188
2861, DALTON ROAD btwn COOPER STREET & CHILDS ROAD,WHITTLESEA,11000,628.0,0.07,-37.6567537,145.0308775, Epping , 3076
3377, VAN NESS AVENUE btwn RALEIGH ROAD & GORDON STREET,MARIBYRNONG,7100,441.0,0.07,-37.77430820000001,144.8953904, Maribyrnong , 3032
3991, MICKLEHAM ROAD btwn CRAIGIEBURN ROAD & SOMERTON ROAD,HUME,8200,359.0,0.05,-37.6122195,144.88521880000002, Greenvale , 3059
1051, KIEWA VALLEY HIGHWAY btwn LINDSAY ROAD & KIEWA EAST ROAD,INDIGO,2100,162.0,0.09,-36.246013299999994,146.9984096, Kiewa , 3691
844, SIMSON STREET btwn BUCKNALL STREET & NEWSTEAD STREET,CENTRAL GOLDFIELDS,1100,116.0,0.13,-37.0452515,143.8219233, Carisbrook , 3464
846, DUKE STREET btwn BARKER STREET & HALLETT COURT,MOUNT ALEXANDER,4700,341.0,0.09,-37.0703761,144.2297356, Castlemaine , 3450
421, FRANKSTON-DANDENONG ROAD btwn KLAUER STREET & MORNINGTON PENINSULA ROUTE Offramp,FRANKSTON,6800,277.0,0.05,-38.124171200000006,145.1404435, Seaford , 3198
595, WARBURTON HIGHWAY btwn CLEGG ROAD & BEENAK ROAD,YARRA RANGES,7300,417.0,0.07,-37.78155170000001,145.43194609999998, Wandin North , 3139
424, MAIN ROAD btwn WARBURTON HIGHWAY & LITTLE YARRA ROAD,YARRA RANGES,3700,356.0,0.11,-37.781251399999995,145.6084191, Yarra Junction , 3797
49, FRANCIS STREET btwn WILLIAMSTOWN ROAD & HYDE STREET,MARIBYRNONG,6400,1300.0,0.23,-37.821031,144.8889923, Yarraville , 3013
53, FOOTSCRAY ROAD btwn WESTERN LINK TOLLWAY Onramp & WESTERN LINK TOLLWAY,MELBOURNE,16000,833.0,0.06,-37.809261299999996,144.93347930000002, West Melbourne , 3003
601, PLENTY ROAD btwn METROPOLITAN RING ROAD Offramp & METROPOLITAN RING ROAD Offramp,BANYULE,24000,2400.0,0.11,-37.68665120000001,145.0679198, Bundoora , 3083
433, ALBERT STREET btwn WOOD STREET & MURRAY ROAD,DAREBIN,16000,817.0,0.06,-37.7378403,145.02382969999996, Preston , 3072
239, HYLAND HIGHWAY btwn MATTINGLEY HILL ROAD & MATTINGLEY HILL ROAD,LATROBE,2000,150.0,0.09,-38.248540399999996,146.5483117, Loy Yang , 3844
63, LEONGATHA-YARRAGON ROAD btwn ROUGHEAD STREET & HORN ROAD,SOUTH GIPPSLAND,3700,454.0,0.15,-38.466640399999996,145.95624660000001, Leongatha , 3953
437, MORWELL-THORPDALE ROAD btwn PRINCES HIGHWAY EAST Offramp & PRINCES HIGHWAY EAST Onramp,LATROBE,2900,176.0,0.08,-38.2347101,146.37309530000002, Morwell , 3840
439, SURF COAST HIGHWAY btwn GREAT OCEAN ROAD & SURF COAST HIGHWAY,SURF COAST,10000,541.0,0.06,-38.3380864,144.3149546, Torquay , 3228
251, CALDER ALTERNATIVE HIGHWAY btwn BENDIGO-MALDON ROAD & MARYBOROUGH-BENDIGO ROAD,BENDIGO,3000,511.0,0.21,-36.8273822,144.155382, Lockwood South , 3551
612, DANDENONG-HASTINGS ROAD btwn LARNACH ROAD & ERAMOSA ROAD,MORNINGTON PENINSULA,4300,345.0,0.09,-38.21198270000001,145.218051, Pearcedale , 3912
615, CITY ROAD btwn ALEXANDRA AVENUE & SOUTHBANK BOULEVARD,MELBOURNE,19000,754.0,0.05,-37.82165429999999,144.9662333, Melbourne , 3006
257, AIRPORT DRIVE btwn WESTFIELD DRIVE & AIRPORT DRIVE Offramp,BRIMBANK,11000,1600.0,0.17,-37.716786,144.8771996, Airport West , 3042
585, PUNT ROAD btwn GREVILLE STREET & HIGH STREET,STONNINGTON,17000,890.0,0.06,-37.849504100000004,144.9843868, Prahran , 3181
40, STUD ROAD btwn WELLINGTON ROAD & BERGINS ROAD,KNOX,20000,2100.0,0.12,-37.9287934,145.2329135, Rowville , 3178
223, FOSTER STREET btwn STUD ROAD & MCCRAE STREET,DANDENONG,12000,604.0,0.06,-37.9875403,145.2198903, Dandenong , 3175
1713, RYRIE STREET btwn ORCHARD STREET & CONNOR STREET,GEELONG,17000,1600.0,0.12,-38.153771299999995,144.37572519999998, East Geelong , 3219
1913, HIGH STREET btwn COLLINS STREET & DRYSDALE ROAD,GEELONG,10000,404.0,0.05,-38.1784858,144.5624893, Drysdale , 3222
2242, PORTARLINGTON-QUEENSCLIFF ROAD btwn MURRADOC ROAD & QUEENSCLIFF-PORTARLINGTON ROAD,GEELONG,1300,96.0,0.09,-38.2263698,144.6350496, Swan Bay , 3225
5587, HENTY HIGHWAY btwn UNNAMED & HENTY HIGHWAY Town Bound,SOUTHERN GRAMPIANS,603,114.0,0.23,-37.626744099999996,142.01107230000002, Hensley Park , 3301
2288, KEILOR PARK DRIVE btwn SHARPS ROAD & STADIUM DRIVE,BRIMBANK,15000,1400.0,0.12,-37.7099804,144.8598595, Tullamarine , 3043
2306, ROKEWOOD-SHELFORD ROAD btwn FERRARS STREET & INVERLEIGH-SHELFORD ROAD,GOLDEN PLAINS,518,84.0,0.2,-37.943630799999994,143.8575595, Shelford , 3329
4888, RIVER ROAD btwn CENTRAL KIALLA ROAD & GOULBURN VALLEY HIGHWAY,SHEPPARTON,2200,579.0,0.34,-36.4407912,145.4089654, Kialla , 3631
2081, MOONAMBEL ROAD btwn LANDSBOROUGH ROAD & SUNRAYSIA HIGHWAY,PYRENEES,223,32.0,0.18,-37.0020802,143.23839630000003, Barkly , 3384
3108, BENALLA-TOCUMWAL ROAD btwn KATAMATITE-NATHALIA ROAD & TUNGAMAH MAIN ROAD,MOIRA,322,65.0,0.25,-36.120576,145.7156553, Katamatite , 3649
6351, HARDING STREET btwn SYDNEY ROAD & NICHOLSON STREET,MORELAND,4000,,,-37.7456375,144.9716786, Coburg , 3058
8453, SOUTH GIPPSLAND HIGHWAY btwn ELIZABETH STREET & LANG LANG-POOWONG ROAD,SOUTH GIPPSLAND,3100,631.0,0.24,-38.3773842,145.73155559999998, Loch , 3945
1305, YARRA BOULEVARD btwn CHANDLER HIGHWAY & STUDLEY PARK ROAD,BOROONDARA,896,26.0,0.03,-37.795761299999995,145.0192562, Kew , 3101
1305, YARRA BOULEVARD btwn CHANDLER HIGHWAY & STUDLEY PARK ROAD,BOROONDARA,896,26.0,0.03,-37.795761299999995,145.0192562, Kew , 3101
1886, YARRA BOULEVARD btwn STUDLEY PARK ROAD & YARRA BOULEVARD,BOROONDARA,10000,630.0,0.07,-37.7954902,145.0187098, Kew , 3101
1889, DON ROAD btwn BADGER WEIR ROAD & UNNAMED,YARRA RANGES,810,46.0,0.07,-37.6898751,145.5472126, Badger Creek , 3777
1893, GRAMPIANS ROAD btwn UNNAMED & SILVERBAND ROAD,NORTHERN GRAMPIANS,106,12.0,0.14,-37.1851699,142.54421169999998, Bellfield , 3381
1313, GREAT OCEAN ROAD btwn COBDEN-WARRNAMBOOL ROAD & TIMBOON-NULLAWARRE ROAD,MOYNE,1900,193.0,0.13,-38.4385194,142.6887642, Mepunga , 3277
1578, HAMILTON HIGHWAY btwn SHAW STREET & DARLINGTON ROAD,MOYNE,1200,251.0,0.27,-38.0407621,142.9334322, Mortlake , 3272
1241, HAMILTON HIGHWAY btwn CEMETERY ROAD & LISMORE-PITFIELD ROAD,CORANGAMITE,1300,309.0,0.28,-37.9508825,143.3693158, Lismore , 3324
860, HIGH STREET btwn HAMILTON HIGHWAY & DUNDAS STREET,GOLDEN PLAINS,1800,251.0,0.17,-38.1019421,144.0508709, Inverleigh , 3321
885, METROPOLITAN RING ROAD btwn METROPOLITAN RING ROAD Offramp & METROPOLITAN RING ROAD Onramp,WHITTLESEA,57000,3100.0,0.06,-37.6869884,145.0294677, Thomastown , 3074
1079, WESTERN RING ROAD btwn WESTERN RING ROAD Offramp & WESTERN RING ROAD,MORELAND,71000,8000.0,0.13,-37.7027791,144.892076, Gladstone Park , 3043
1832, WESTERN RING ROAD btwn WESTERN RING ROAD Offramp & SUNSHINE AVENUE,BRIMBANK,16000,2100.0,0.15,-37.749692700000004,144.8339136, Sunshine North , 3020
900, SOUTHERN LINK TOLLWAY twn SOUTHERN LINK TOLLWAY Onramp & SOUTHERN LINK TOLLWAY,YARRA,50000,9800.0,0.22,-37.8304153,145.00565, Richmond , 3121
1627, WESTERN LINK TOLLWAY btwn BELL STREET & WESTERN LINK TOLLWAY Onramp,MORELAND,78000,5500.0,0.08,-37.7373349,144.9301781, Pascoe Vale South , 3044
1092, WESTERN LINK TOLLWAY btwn WESTERN LINK TOLLWAY Offramp & WESTERN LINK TOLLWAY Offramp,MELBOURNE,58000,7400.0,0.15,-37.8021343,144.936221, West Melbourne , 3003
1854, THOMSON VALLEY ROAD btwn THOMSON DAM ACCESS ROAD & WALHALLA-TYERS ROAD,BAW BAW,65,9.0,0.18,-37.90614420000001,146.3940321, Baw Baw , 3833
1857, MURRUNGOWER ROAD btwn PRINCES HIGHWAY EAST & GLEN ARTE ROAD,EAST GIPPSLAND,26,8.0,0.36,-37.6227489,148.67960549999998, Cabbage Tree Creek , 3889
1859, MT VICTORY ROAD btwn UNNAMED & GRAMPIANS ROAD,NORTHERN GRAMPIANS,183,14.0,0.09,-37.1370544,142.5148371, Halls Gap , 3381
1654, MYRTLE STREET btwn WILLOW GROVE & STANDISH STREET,ALPINE,2900,219.0,0.09,-36.563908399999995,146.7279342, Myrtleford , 3737
1864, GAVAN STREET btwn GAVAN STREET & STACKEY GULLY ROAD,ALPINE,1600,117.0,0.09,-36.726469200000004,146.9492669, Bright , 3741
1659, GREAT ALPINE ROAD btwn DELAHUNTY STREET & BILTON STREET,EAST GIPPSLAND,443,68.0,0.19,-37.3919779,147.83626719999998, Ensay , 3895
1283, OMEO HIGHWAY btwn BUCHAN ROAD & DELAHUNTY STREET,EAST GIPPSLAND,1100,145.0,0.17,-37.702906299999995,147.83366719999998, Bruthen , 3885
848, TOORAK ROAD btwn AUBURN ROAD & TOORONGA ROAD,BOROONDARA,12000,382.0,0.04,-37.845192700000005,145.0429351, Hawthorn , 3122
851, BURWOOD HIGHWAY  btwn STATION STREET & MIDDLEBOROUGH ROAD,WHITEHORSE,18000,963.0,0.06,-37.8512119,145.12617969999997, Burwood , 3125
1570, BURWOOD HIGHWAY btwn FERNTREE GULLY ROAD & DORSET ROAD,KNOX,24000,854.0,0.04,-37.883729200000005,145.28124590000002, Ferntree Gully , 3156
1573, HIGH STREET btwn DON STREET & CHAPEL STREET,BENDIGO,13000,796.0,0.08,-36.7600626,144.2775926, Bendigo , 3550
854, HAMILTON HIGHWAY btwn UNNAMED & BELL STREET,SOUTHERN GRAMPIANS,803,113.0,0.17,-37.8715289,142.2874699, Penshurst , 3289
150, WESTERN HIGHWAY btwn ARARAT-STAWELL ROAD & MAIN DIVIDE ROAD,NORTHERN GRAMPIANS,4600,808.0,0.22,-37.1621229,142.86416540000002, Great Western , 3374
150, WESTERN HIGHWAY btwn ARARAT-STAWELL ROAD & MAIN DIVIDE ROAD,NORTHERN GRAMPIANS,4600,808.0,0.22,-37.1621229,142.86416540000002, Great Western , 3374
1044, DUNLOP STREET btwn HAMILTON HIGHWAY & SHAW STREET,MOYNE,1700,345.0,0.25,-38.080794399999995,142.8049908, Mortlake , 3272
857, HIGH STREET btwn WEST STREET & HAMILTON HIGHWAY,CORANGAMITE,1300,220.0,0.21,-37.9536092,143.3439609, Lismore , 3324
1342, BARWON HEADS-OCEAN GROVE ROAD btwn UNNAMED & SWEETMAN PARADE,GEELONG,4700,349.0,0.09,-38.271814899999995,144.5117313, Ocean Grove , 3226
1722, LOWER DUNEED ROAD btwn SURF COAST HIGHWAY & GEELONG-BARWON HEADS ROAD,SURF COAST,2700,117.0,0.05,-38.251834,144.3615699, Connewarre , 3227
2251, WINCHELSEA-DEANS MARSH ROAD btwn TUTEGONG ROAD & BIRREGURRA-DEANS MARSH ROAD,SURF COAST,346,30.0,0.11,-38.3476506,143.9626165, Winchelsea South , 3241
1348, WARNCOORT-BIRREGURRA ROAD btwn PRINCES HIGHWAY WEST & MAIN STREET,COLAC OTWAY,934,122.0,0.16,-38.3230199,143.7523059, Warncoort , 3243
1353, BEECH FOREST-LAVERS HILL ROAD btwn LAVERS HILL-COBDEN ROAD & GREAT OCEAN ROAD,COLAC OTWAY,429,65.0,0.19,-38.6801284,143.3913449, Lavers Hill , 3238
1728, MURPHY STREET btwn REID STREET & RILEY STREET,WANGARATTA,8000,575.0,0.09,-36.3568186,146.3238807, Wangaratta , 3677
1359, HARKER STREET btwn FLEMINGTON ROAD & ERROL STREET,MELBOURNE,5800,361.0,0.07,-37.7968205,144.95094890000001, North Melbourne , 3051
