TIS_ID,LOCATION_LINK_DESC,LGA,ALL_VEHICLE_DAILY_VOLUME_AVG,TRUCKS_DAILY_VOLUME_AVG,DAILY_AVG_%_OF_VOLUME_OF_TRUCKS,LATITUDE,LONGITUDE,SUBURB,POSTCODE
7405, SPRINGFIELD ROAD btwn WILLIAMS ROAD & SURREY ROAD,WHITEHORSE,6200,371.0,0.07,-37.810694700000006,145.1546785, Blackburn North , 3130
6882, STATION ROAD btwn HIGH STREET & BARRIES ROAD,MELTON,2100,129.0,0.07,-37.686214899999996,144.5782455, Melton , 3337
6504, STATION LAKE ROAD btwn STATION LAKE ROAD & STATION LAKE ROAD,GEELONG,6400,254.0,0.05,-38.0230851,144.397299, Lara , 3212
7090, STUMPY GULLY ROAD btwn HODGINS ROAD & MYERS ROAD,MORNINGTON PENINSULA,108,6.0,0.07,-38.319462200000004,145.1271956, Tuerong , 3915
6695, DOCKLANDS HIGHWAY btwn FOOTSCRAY ROAD & LATROBE STREET,MELBOURNE,4300,262.0,0.07,-37.8136824,144.944412, Docklands , 3008
5766, HARRIS GULLY ROAD btwn WARRANDYTE ROAD & BEAUTY GULLY ROAD,MANNINGHAM,5800,349.0,0.07,-37.7515435,145.2089013, Warrandyte , 3113
5769, HAWKE STREET btwn KING STREET & SPENCER STREET,MELBOURNE,6600,400.0,0.07,-37.8062995,144.9478104, West Melbourne , 3003
6701, HENDERSONS ROAD btwn BURGI HILL ROAD & HAAG ROAD,YARRA RANGES,3900,232.0,0.07,-37.77530529999999,145.4478919, Seville , 3139
6181, HIGH STREET btwn MURRAY ROAD & CRAMER STREET,DAREBIN,10000,608.0,0.07,-37.7391704,145.0038186, Preston , 3072
1790, BARRABOOL ROAD btwn SHANNON AVENUE & FERNDALE PARADE,GEELONG,15000,828.0,0.07,-38.1688032,144.3287496, Belmont , 3216
3085, GRAHAM ROAD btwn HENDERSON ROAD & MCEWEN ROAD,CAMPASPE,1500,212.0,0.18,-36.29884439999999,144.9923532, Kyvalley , 3621
3121, ALBION STREET btwn EDIS STREET & ALLAN STREET,CAMPASPE,2400,188.0,0.1,-36.3108044,145.0496247, Kyabram , 3620
