POSTCODE,ALL_VEHICLE_DAILY_VOLUME_AVG,TRUCKS_DAILY_VOLUME_AVG,DAILY_AVG_%_OF_VOLUME_OF_TRUCKS
3236,3600,461.0,0.164
3237,3133,327.0,0.15
3238,2493,251.0,0.132
3239,92,12.0,0.132
3240,25405,2681.0,0.111
3241,28268,4888.0,0.175
3242,1835,191.0,0.133
3243,10305,1593.0,0.149
3249,36424,6033.0,0.161
3250,80183,10065.0,0.128
3251,2796,357.0,0.158
3260,39960,5727.0,0.176
3264,34280,4716.0,0.167
3265,18783,2997.0,0.179
3266,21913,2871.0,0.175
3267,2089,244.0,0.155
3268,11186,1190.0,0.132
3269,4250,325.0,0.095
3270,3578,333.0,0.118
3272,10321,2101.0,0.266
3273,928,182.0,0.24
3274,1770,338.0,0.235
3275,2400,229.0,0.115
3276,5414,558.0,0.132
3277,61232,6768.0,0.131
3279,7000,1223.0,0.222
3280,120400,12226.0,0.125
3281,12993,1140.0,0.116
3282,31304,3217.0,0.128
3283,35338,4260.0,0.158
3284,31536,3711.0,0.143
3285,17803,2747.0,0.188
3286,3849,516.0,0.195
3287,5358,633.0,0.147
3289,9598,1637.0,0.228
3292,2464,1048.0,0.525
3293,5089,1252.0,0.304
3294,9047,1672.0,0.178
3300,55906,7459.0,0.176
3301,10988,1866.0,0.208
3302,5932,1006.0,0.226
3303,4500,1141.0,0.325
3304,29358,7509.0,0.33
3305,63409,13414.0,0.255
3310,1572,352.0,0.275
3311,16437,2378.0,0.2
3312,2275,435.0,0.25
3314,2958,618.0,0.264
3315,11405,1891.0,0.174
3317,556,105.0,0.235
3318,9627,1981.0,0.274
3319,760,139.0,0.22
3321,15729,2526.0,0.184
3322,9504,1836.0,0.216
3323,1538,372.0,0.3
3324,14366,2778.0,0.249
3325,6697,1440.0,0.258
3328,3600,337.0,0.115
3329,1009,180.0,0.22
3330,4323,751.0,0.253
3331,61512,5726.0,0.114
3332,6000,914.0,0.19
3333,11700,1381.0,0.148
3335,563414,54391.0,0.105
3337,508999,51296.0,0.106
3338,145677,13557.0,0.083
3340,490517,48579.0,0.116
3341,194736,29211.0,0.157
3342,152833,20102.0,0.121
3345,24000,3700.0,0.195
3350,664400,46064.0,0.086
3351,26233,3621.0,0.226
3352,340038,50768.0,0.191
3355,299100,28048.0,0.119
3356,154800,10058.0,0.084
3357,23200,1983.0,0.102
3360,4752,619.0,0.19
3361,10010,2123.0,0.276
3363,38068,3100.0,0.113
3364,21717,1927.0,0.114
3370,8749,815.0,0.104
3371,7364,896.0,0.163
3373,21060,4101.0,0.235
3374,23100,4100.0,0.222
3375,14900,1943.0,0.158
3377,49350,8711.0,0.212
3379,3152,645.0,0.225
