OBJECTID,accident_no,accident_date,accident_time,accident_type,day_of_week,road_geometry,severity,speed_zone,node_id,longitude,latitude,suburb,postcode,node_type,lga_name,region_name,total_persons,inj_or_fatal,fatality,seriousinjury,otherinjury,noninjured,males,females,bicyclist,passenger,driver,pedestrian,pillion,motorist,old_pedestrian,old_driver,young_driver,alcohol_related,no_of_vehicles,heavyvehicle,passengervehicle,motorcycle,publicvehicle
3469787,T20180011969,2018-06-25,16.20.00,Collision with vehicle,Monday,T intersection,Other injury accident,60 km/hr,41897,145.25758000000002,-37.88042,Ferntree Gully,3156,Intersection,KNOX,METROPOLITAN SOUTH EAST REGION,4,2,0,0,2,2,1,3,0,2,2,0,0,0,0,0,0,No,2,0,2,0,0
3469788,T20180011970,2018-06-25,16.50.00,Collision with a fixed object,Monday,Not at intersection,Other injury accident,100 km/hr,332165,142.76418,-38.19954,Moyne Shire,,Non-Intersection,MOYNE,SOUTH WESTERN REGION,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,No,1,0,1,0,0
3469789,T20180011971,2018-06-25,13.30.00,Collision with vehicle,Monday,Cross intersection,Other injury accident,60 km/hr,45206,144.8811,-37.77503,Maribyrnong,3032,Intersection,MARIBYRNONG,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,No,2,0,2,0,0
3469790,T20180011973,2018-06-26,07.00.00,Collision with vehicle,Tuesday,T intersection,Serious injury accident,60 km/hr,336742,145.28837,-37.80742,Croydon,3136,Non-Intersection,MAROONDAH,METROPOLITAN SOUTH EAST REGION,3,3,0,1,2,0,2,1,0,1,2,0,0,0,0,0,0,No,2,0,2,0,0
3469791,T20180012404,2018-02-07,13.39.00,Fall from or in moving vehicle,Sunday,Not at intersection,Serious injury accident,60 km/hr,343239,145.14185,-37.801970000000004,Box Hill North,3129,Non-Intersection,WHITEHORSE,METROPOLITAN SOUTH EAST REGION,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,No,1,0,0,1,0
3469792,T20180012411,2018-02-07,14.43.00,Collision with vehicle,Monday,Cross intersection,Serious injury accident,60 km/hr,41116,144.99223999999998,-37.87625,Victoria,,Intersection,PORT PHILLIP,METROPOLITAN NORTH WEST REGION,2,1,0,1,0,1,1,1,0,0,2,0,0,0,0,0,0,No,2,0,1,0,1
3469793,T20180012414,2018-02-07,15.30.00,Collision with vehicle,Monday,Cross intersection,Other injury accident,80 km/hr,32015,145.15201000000002,-37.85252,Burwood East,3151,Intersection,WHITEHORSE,METROPOLITAN SOUTH EAST REGION,2,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,1,No,2,0,2,0,0
3469794,T20180012417,2018-02-07,17.45.00,Collision with vehicle,Monday,Cross intersection,Other injury accident,50 km/hr,38744,144.89238999999998,-37.803259999999995,Footscray,3011,Intersection,MARIBYRNONG,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,2,0,1,0,1,0,0,0,0,0,1,No,2,0,1,0,0
3469795,T20180012418,2018-02-07,16.29.00,Collision with vehicle,Monday,Cross intersection,Other injury accident,60 km/hr,332211,145.08316000000002,-37.7626,Bulleen,3105,Non-Intersection,MANNINGHAM,METROPOLITAN SOUTH EAST REGION,2,1,0,0,1,1,2,0,0,0,2,0,0,0,0,1,1,No,2,0,2,0,0
3469796,T20180012420,2018-02-07,15.35.00,Collision with a fixed object,Monday,Multiple intersection,Other injury accident,80 km/hr,29776,145.23368,-38.23871,Somerville,3912,Intersection,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,2,2,0,0,2,0,0,2,0,1,1,0,0,0,0,0,1,No,1,0,1,0,0
3469797,T20180012421,2018-02-07,09.30.00,Collision with a fixed object,Sunday,Not at intersection,Other injury accident,Not known,332656,145.43384,-37.46078,Murrindindi Shire,,Non-Intersection,MURRINDINDI,NORTH EASTERN REGION,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,No,1,0,0,1,0
3469798,T20180012423,2018-02-07,16.30.00,Collision with vehicle,Monday,T intersection,Other injury accident,80 km/hr,332461,144.2592,-38.08316,Batesford,3213,Intersection,GOLDEN PLAINS,SOUTH WESTERN REGION,4,2,0,0,2,2,2,2,0,2,2,0,0,0,0,0,0,No,2,0,2,0,0
3469799,T20180012425,2018-02-07,16.00.00,Struck Pedestrian,Monday,Cross intersection,Serious injury accident,Not known,38091,145.02511,-37.77901,Fairfield,3078,Intersection,DAREBIN,METROPOLITAN NORTH WEST REGION,2,1,0,1,0,1,2,0,0,0,1,1,0,0,1,0,0,No,1,0,1,0,0
3469800,T20180012426,2018-01-07,15.46.00,Collision with vehicle,,T intersection,Serious injury accident,50 km/hr,43700,144.99163000000001,-37.72892,Preston,3072,Intersection,DAREBIN,METROPOLITAN NORTH WEST REGION,2,2,0,1,1,0,2,0,0,0,1,0,0,1,0,1,0,No,2,0,1,1,0
3469801,T20180012427,2018-02-07,16.00.00,Collision with vehicle,Monday,Cross intersection,Other injury accident,60 km/hr,52892,143.84063,-37.56432,Ballarat Central,3350,Intersection,BALLARAT,WESTERN REGION,2,1,0,0,1,1,0,2,0,0,2,0,0,0,0,1,0,No,2,0,2,0,0
3469802,T20180012431,2018-02-07,18.17.00,Collision with vehicle,Monday,T intersection,Other injury accident,60 km/hr,40373,145.04285,-37.84985,Glen Iris,3146,Intersection,STONNINGTON,METROPOLITAN SOUTH EAST REGION,2,1,0,0,1,1,2,0,1,0,1,0,0,0,0,0,1,No,2,0,1,0,0
3469803,T20180012432,2018-06-24,18.00.00,Collision with vehicle,Sunday,Not at intersection,Serious injury accident,100 km/hr,332270,143.8731,-35.68439,Gannawarra Shire,,Non-Intersection,GANNAWARRA,NORTHERN REGION,3,1,0,1,0,2,2,1,0,1,2,0,0,0,0,0,1,No,2,0,2,0,0
3469804,T20180011021,2018-11-06,18.55.00,Collision with vehicle,Monday,Not at intersection,Serious injury accident,60 km/hr,47484,145.11413000000002,-38.047470000000004,Chelsea,3196,Intersection,KINGSTON,METROPOLITAN SOUTH EAST REGION,2,1,0,1,0,1,2,0,0,0,1,0,0,1,0,0,0,No,2,0,0,1,0
3469805,T20180011022,2018-12-06,08.30.00,Collision with vehicle,Tuesday,Not at intersection,Other injury accident,50 km/hr,332049,144.14054,-37.35197,Daylesford,3460,Non-Intersection,HEPBURN,WESTERN REGION,2,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,No,2,0,1,0,0
3469806,T20180011028,2018-12-06,09.41.00,Collision with vehicle,Tuesday,Not at intersection,Other injury accident,50 km/hr,331596,144.9963,-37.818259999999995,Richmond,3121,Non-Intersection,YARRA,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,No,2,0,1,1,0
3469807,T20180011029,2018-12-06,11.40.00,Collision with vehicle,Tuesday,Cross intersection,Serious injury accident,80 km/hr,282000,145.21243,-37.86163,Wantirna South,3152,Intersection,KNOX,METROPOLITAN SOUTH EAST REGION,5,1,0,1,0,4,3,2,0,1,4,0,0,0,0,0,1,No,4,0,4,0,0
3469808,T20180011031,2018-12-06,06.10.00,Collision with a fixed object,Tuesday,Cross intersection,Serious injury accident,60 km/hr,49396,145.15034,-36.80138,Nagambie,3608,Intersection,STRATHBOGIE,NORTH EASTERN REGION,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,No,1,1,0,0,0
3469809,T20180011035,2018-11-06,21.00.00,Collision with a fixed object,Monday,Not at intersection,Other injury accident,100 km/hr,332418,146.60113,-38.091029999999996,Glengarry,3854,Non-Intersection,LATROBE,EASTERN REGION,2,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,No,1,0,1,0,0
3469810,T20180011036,2018-12-06,07.35.00,Struck Pedestrian,Tuesday,T intersection,Serious injury accident,60 km/hr,320527,145.31124,-38.101279999999996,City of Casey,,Intersection,CASEY,METROPOLITAN SOUTH EAST REGION,2,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,No,1,0,1,0,0
3469811,T20180011037,2018-12-06,12.40.00,Collision with vehicle,Tuesday,T intersection,Serious injury accident,60 km/hr,56654,145.03242,-37.63825,Whittlesea City,,Intersection,WHITTLESEA,METROPOLITAN NORTH WEST REGION,3,2,0,1,1,1,1,2,0,0,2,0,0,0,0,0,1,No,2,0,2,0,0
3469812,T20180011038,2018-12-06,14.02.00,Collision with vehicle,Tuesday,T intersection,Other injury accident,100 km/hr,15294,145.02262,-37.42125,Upper Plenty,3756,Intersection,MITCHELL,NORTHERN REGION,2,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,No,2,0,1,0,0
3469813,T20180011039,2018-12-06,14.00.00,collision with some other object,Tuesday,T intersection,Serious injury accident,50 km/hr,331629,143.87417,-37.58798,Canadian,3350,Non-Intersection,BALLARAT,WESTERN REGION,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,No,1,0,0,1,0
3469814,T20180011040,2018-08-06,13.20.00,Collision with vehicle,Friday,Not at intersection,Other injury accident,40 km/hr,331465,144.83123,-37.79076,Sunshine,3020,Non-Intersection,BRIMBANK,METROPOLITAN NORTH WEST REGION,4,2,0,0,2,2,2,2,0,2,2,0,0,0,0,0,0,No,2,0,2,0,0
3469815,T20180011041,2018-12-06,15.00.00,Collision with vehicle,Tuesday,Cross intersection,Other injury accident,50 km/hr,60364,142.92585,-37.28366,Ararat,3377,Intersection,ARARAT,WESTERN REGION,2,1,0,0,1,1,0,2,0,0,2,0,0,0,0,1,0,No,2,0,2,0,0
